City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,rocha,-34.4833,-54.3333,286.11,55,4,1.33,UY,1676765507
84,urumqi,43.801,87.6005,260.68,92,40,0.0,CN,1676765507
85,komsomolskiy,40.4272,71.7189,278.55,93,75,1.03,UZ,1676765508
86,hervey bay,-25.2986,152.8535,300.94,68,56,4.92,AU,1676765508
87,udachnyy,66.4167,112.4,247.84,83,99,2.01,RU,1676765508
88,kodiak,57.79,-152.4072,276.88,70,40,4.12,US,1676765509
89,padang,-0.9492,100.3543,298.36,86,79,1.73,ID,1676765284
90,nove straseci,50.1527,13.9004,282.4,88,100,6.71,CZ,1676765510
91,guasdualito,7.2424,-70.7324,300.73,35,9,1.61,VE,1676765510
92,avarua,-21.2078,-159.775,301.18,78,75,5.66,CK,1676765510
93,hanko,59.8333,22.95,273.7,94,100,15.65,FI,1676765511
94,pordim,43.3833,24.85,278.57,61,68,2.71,BG,1676765512
95,hermanus,-34.4187,19.2345,290.26,79,67,3.54,ZA,1676765512
96,geraldton,-28.7667,114.6,297.38,78,75,7.2,AU,1676765244
97,vostok,46.4856,135.8833,259.93,90,100,0.24,RU,1676765513
98,salalah,17.0151,54.0924,299.2,36,0,7.2,OM,1676765513
99,sao filipe,14.8961,-24.4956,294.4,75,96,3.58,CV,1676765514
100,pussi,59.36,27.0497,270.37,96,100,2.18,EE,1676765514
101,tiksi,71.6872,128.8694,240.7,100,44,2.86,RU,1676765515
102,atuona,-9.8,-139.0333,299.47,76,90,6.99,PF,1676765395
103,jatiroto,-7.8833,111.1167,297.0,92,100,1.53,ID,1676765288
104,kysyl-syr,63.8986,122.7617,242.13,100,99,1.3,RU,1676765516
105,lakselv,70.0513,24.9718,271.05,86,100,4.12,NO,1676765516
106,leopold,-38.1833,144.4667,294.72,69,75,4.12,AU,1676765517
107,nikolayevsk-na-amure,53.1406,140.73,255.91,92,94,0.99,RU,1676765517
